Band,Song,Guitarist,Technique,POPULARITY,RELEASE_DATE,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Singer,Bassist,Drummer,Pianist,Drums_Energy_Level,Piano_Energy_Level,Bass_Energy_Level,Drums_BPM_Level,Piano_BPM_Level,Bass_BPM_Level,Relevance_Drums,Relevance_Bass,Relevance_Piano,Instruments_Difficulty
Van Halen,Eruption,"['EddieVanHalen(1955-2020)', 'WolfgangVanHalen']","['Distortion Guitar', 'Guitar Effects']",64,1978,0.225,0.689,-9.12,0.0555,0.469,0.813,0.337,0.5,93.798,102080,"['DavidLeeRoth', 'SammyHagar', 'GaryCherone']",['MichaelAnthony'],['AlexVanHalen'],[],Low,Low,Low,Medium,Medium,High,0.0,,0.0,"['drums_Intermidiate', 'guitar_Advanced', 'piano_Intermidiate', 'bass_Advanced']"
Led Zeppelin,Stairway To Heaven,['Jimmy Page'],['Overdriven Guitar'],79,1971,0.338,0.34,-12.049,0.0339,0.58,0.0032,0.116,0.197,82.433,482830,['RobertPlant'],['JohnPaulJones'],['JohnBonham(1948-1980)'],[],Low,Low,Low,Medium,Medium,Medium,1.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Black Sabbath,Iron Man,['Tony Iommi'],"['Guitar', 'Distortion Guitar']",67,1970,0.336,0.792,-10.875,0.084,0.00351,0.00175,0.0437,0.427,155.587,355304,"['OzzyOsbourne', 'RonnieJamesDio(1942-2010)']",['GeezerButler'],['BillWard'],[],Low,Low,Low,Medium,Medium,Medium,1.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Dick Dale,Misirlou,,"['Electric Guitar (clean)', 'Guitar 1']",56,1960,0.293,0.932,-6.839,0.051,0.0136,0.906,0.289,0.657,173.262,135973,,,,,Low,Low,Low,Low,Medium,Medium,1.0,2.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Ed Sheeran,I See Fire,,"['Acoustic Guitar (steel)', 'Nylon Guitar']",60,2013,0.633,0.0519,-21.107,0.0365,0.562,0.0,0.097,0.204,76.034,300747,,,,,Low,Low,Low,Medium,Medium,Medium,2.0,4.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Ludwig Van Beethoven,Moonlight Sonata,,['Acoustic Guitar (nylon)'],68,2007,0.184,0.00527,-37.264,0.0432,0.995,0.887,0.173,0.151,170.612,315427,,,,,Low,Low,Low,High,High,Medium,0.0,0.0,,"['drums_Advanced', 'guitar_Intermediate', 'piano_Advanced', 'bass_Intermidiate']"
Mason Williams,Classical Gas,['Mason Williams'],['Acoustic Guitar (steel)'],52,1968,0.489,0.701,-10.53,0.0348,0.852,0.78,0.108,0.739,155.269,184800,,,,,Low,Low,Low,Medium,Medium,Medium,1.0,0.0,1.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Muse,Psycho,['ChristopherWolstenholme'],"['Overdriven Guitar', 'Distortion Guitar']",68,2015,0.555,0.883,-3.426,0.0341,0.00114,0.041,0.868,0.507,125.02,316718,['MatthewBellamy'],['DominicHoward'],[],[],Medium,Low,Low,Medium,Low,Medium,4.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Slipknot,Psychosocial,['Mick T.'],"['Guitar', 'Distortion Guitar']",75,2008,0.568,0.981,-3.889,0.0887,0.00269,0.00275,0.0243,0.307,135.146,284120,['SidWilson'],"['JimRoot', 'MickThomson']","['PaulGray(1972-2010)', 'AlessandroVenturella']","['JoeyJordison(1975-2021)', 'JayWeinberg', 'ShawnCrahan', 'ChrisFehn']",Low,Low,Low,Medium,Medium,Medium,3.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Blind Guardian,The Bards Song,['Acoustic 1'],['Acoustic Guitar (steel)'],58,1992,0.396,0.415,-7.56,0.0283,0.846,4.38e-05,0.141,0.38,81.778,189893,,,,,Low,Low,Low,Low,Medium,Medium,0.0,0.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Red Hot Chili Peppers,Can't Stop,['John Frusciante'],['Overdriven Guitar'],81,2002,0.618,0.938,-3.442,0.0456,0.0179,0.0,0.167,0.875,91.455,269000,['AnthonyKiedis'],['Flea'],"['ChadSmith', 'JackIrons']",[],Low,Low,Low,Medium,Low,Medium,2.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Sungha Jung,Howls Moving Castle,,['Acoustic Guitar (steel)'],22,2013,0.326,0.366,-9.326,0.0617,0.87,0.831,0.101,0.269,83.323,303440,,,,,Low,Low,Low,Medium,Medium,Medium,0.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Estas Tonne,The Song Of The Golden Dragon,['Estas Tonné'],['Acoustic Guitar (nylon)'],48,2012,0.233,0.825,-10.095,0.0415,0.68,0.946,0.565,0.552,89.01,549809,,,,,Low,Low,Low,Medium,Medium,Medium,1.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Mayhem,Freezing Moon,['Euronymous'],['Distortion Guitar'],55,1994,0.168,0.974,-9.116,0.112,3.05e-05,0.641,0.0752,0.0943,93.424,383053,"['PerOhlin(1969-1991)', 'AttilaCsihar']",['Necrobutcher'],[],[],Low,Low,Low,High,Medium,Medium,1.0,0.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Foo Fighters,Everlong,"['PatSmear', 'ChrisShiflett', 'NateMendel', 'FranzStahl']","['Distortion Guitar', 'Dave Grohl (Rhythm Guitar)']",82,1997,0.413,0.881,-5.541,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,250547,['DaveGrohl'],"['TaylorHawkins(1972-2022)', 'WilliamGoldsmith']",[],[],Low,Low,Low,Medium,Medium,Medium,3.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Avenged Sevenfold,Buried Alive,"['SynysterGates', 'ZackyVengeance']","['Electric Guitar (clean)', 'Clean Guitar (Synyster Gates)']",64,2010,0.607,0.804,-5.209,0.0296,0.00116,0.0,0.159,0.469,139.983,404387,['MattShadows'],['JohnnyChrist'],"['JamesOwenSullivan(1981-2009)', 'MikePortnoy', 'BrooksWackerman', 'ArinIlejay']",[],Low,Low,Low,High,Medium,Medium,3.0,1.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Metallica,Ride The Lightning,['Kirk Hammett'],['Distortion Guitar'],61,1984,0.265,0.973,-6.129,0.173,5.15e-05,0.0942,0.205,0.27,148.506,396987,"['JamesHetfield', 'DaveMustaine']","['CliffBurton(1962-1986)', 'RobertTrujillo', 'JasonNewsted', 'RonMcGovney']",['LarsUlrich'],[],Low,Low,Low,High,High,High,3.0,0.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Advanced', 'bass_Advanced']"
Johann Sebastian Bach,Bouree,,['Acoustic Guitar (steel)'],13,2022,0.386,0.385,-17.061,0.0466,0.99,0.87,0.13,0.975,107.845,46360,,,,,Low,High,Low,Medium,Medium,Medium,0.0,0.0,,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
As I Lay Dying,Through Struggle,"[""Samuel Nicholas Keali'iokalani Hipa""]",['Distortion Guitar'],53,2005,0.195,0.976,-4.381,0.0808,6.86e-05,0.000912,0.263,0.531,180.372,238173,,,,,Low,Low,Low,Low,Medium,Medium,3.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Judas Priest,Breaking The Law,['Glenn Tipton'],['Distortion Guitar'],71,1980,0.362,0.961,-5.664,0.0857,0.024,9.35e-06,0.159,0.491,164.019,153840,['RobHalford'],['IanHill'],"['ScottTravis', 'SimonPhillips', 'DaveHolland(1946-2018)', 'LesBinks']",[],Low,Low,Low,Medium,Medium,Medium,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Gojira,Silvera,,"['Distortion Guitar', 'Joe Duplantier (Guitar)']",61,2016,0.333,0.959,-4.348,0.072,3.19e-06,0.0563,0.299,0.242,137.052,212653,,,,,Medium,Low,Low,Medium,Medium,Medium,4.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Bullet For My Valentine,Waking The Demon,['Matt Tuck'],['Distortion Guitar'],53,2008,0.306,0.995,-3.203,0.1,2.98e-05,0.00859,0.254,0.135,127.908,247693,['MatthewTuck'],['JasonJames'],['MichaelThomas'],[],Low,Low,Low,Medium,Low,Medium,1.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Blue Oyster Cult,Don't Fear The Reaper,"['EricBloom', 'BuckDharma']","['Electric Guitar (clean)', 'Guitar 1']",75,1976,0.333,0.927,-8.55,0.0733,0.0029,0.000208,0.297,0.385,141.466,308120,"['AllenLanier(1946-2013)', 'KasimSulton']","['RudySarzo', 'JoeBouchard']","['NealSmith', 'ThommyPrice', 'AlbertBouchard', 'ChuckBurgi']",[],Low,Low,Low,Medium,Low,Medium,1.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Beginner', 'bass_Intermidiate']"
Led Zeppelin,Whole Lotta Love,['JimmyPage'],"['Distortion Guitar', 'Jimmy Page Guitar 1 (w/dist) ']",77,1969,0.412,0.902,-11.6,0.405,0.0484,0.131,0.405,0.422,89.74,333893,['RobertPlant'],['JohnPaulJones'],['JohnBonham(1948-1980)'],[],Low,Low,Low,Low,Medium,Medium,1.0,3.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Jimi Hendrix,Purple Haze,['Jimi Hendrix'],['Distortion Guitar'],71,1967,0.533,0.905,-5.27,0.0754,0.00876,0.578,0.0698,0.486,108.9,170813,,,,,Low,Low,Low,Medium,Medium,Medium,3.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Joe Satriani,"Always With Me, Always With You",['Melody'],['Distortion Guitar'],52,1987,0.575,0.295,-12.584,0.0326,0.484,0.703,0.0639,0.394,144.366,202533,,,,,Low,Low,Low,Medium,Medium,High,3.0,3.0,1.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
Pantera,I'm Broken,['Dimebag Darrell'],['Distortion Guitar'],65,1994,0.419,0.878,-6.352,0.0553,0.000594,0.559,0.139,0.666,147.385,264800,"['PhilAnselmo', 'TerryLeeGlaze']",['RexBrown'],['VinniePaul(1964-2018)'],[],Low,Low,Low,High,High,Medium,2.0,1.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Advanced', 'bass_Intermidiate']"
Killswitch Engage,My Curse,['Adam D.'],['Distortion Guitar'],67,2006,0.197,0.956,-2.908,0.0663,7.61e-05,0.00992,0.261,0.209,177.018,244773,,,,,Medium,Low,Low,Medium,Medium,Medium,4.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Gary Moore,Parisienne Walkways,['Solo'],['Distortion Guitar'],42,1978,0.367,0.149,-18.256,0.0282,0.661,0.0696,0.132,0.233,87.795,200908,,,,,Low,Low,Low,Low,Medium,Medium,2.0,4.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Disturbed,Down With The Sickness,['Dan Donegan'],"['Guitar', 'Distortion Guitar']",75,2000,0.695,0.876,-4.262,0.0553,0.000996,6.89e-06,0.106,0.941,89.954,279213,['DavidDraiman'],"['JohnMoyer', 'SteveKmak']",['MikeWengren'],[],Low,Low,Low,Low,Medium,Medium,3.0,3.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Alice in Chains,Man In The Box,['Jerry Cantrell'],"['Lead Guitar', 'Distortion Guitar']",75,1990,0.355,0.791,-7.565,0.0453,0.00045,0.0,0.0969,0.758,106.392,285200,"['LayneStaley(1967-2002)', 'WilliamDuvall']","['MikeStarr(1966-2011)', 'MikeInez']",['SeanKinney'],[],Low,Low,Low,Medium,Low,Medium,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Beginner', 'bass_Intermidiate']"
Avenged Sevenfold,Nightmare,['Lead'],['Distortion Guitar'],71,2010,0.554,0.949,-4.928,0.0787,0.000318,9.98e-05,0.2,0.233,129.984,374453,['MattShadows'],['JohnnyChrist'],"['JamesOwenSullivan(1981-2009)', 'MikePortnoy', 'BrooksWackerman', 'ArinIlejay']",[],Low,Low,Low,Medium,Medium,Medium,3.0,1.0,1.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
John Petrucci,Glasgow Kiss,,"['Distortion Guitar', 'Lead Guitar']",40,2005,0.18,0.949,-4.43,0.101,0.000708,0.89,0.122,0.374,103.723,468787,,,,,Medium,Low,Low,Medium,Medium,Medium,4.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Advanced', 'piano_Intermidiate', 'bass_Intermidiate']"
Francisco Tarrega,Gran Vals,,"['Acoustic Guitar (nylon)', 'N.Guitar']",38,2002,0.491,0.0549,-26.644,0.0665,0.988,0.889,0.0928,0.772,108.972,159507,,,,,Low,Low,Low,Medium,Medium,Medium,0.0,0.0,7.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Lamb Of God,Walk With Me In Hell,['MarkMorton'],"['Distortion Guitar', 'Mark Morton (Lead Guitar)']",59,2006,0.286,0.982,-3.828,0.131,3.39e-05,0.00675,0.309,0.118,110.629,311507,['RandyBlythe'],['ChrisAdler'],[],[],Medium,Low,Low,Medium,Medium,High,5.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
Stevie Ray Vaughan,Pride And Joy,['Stevie Ray Vaughan'],['Overdriven Guitar'],66,1983,0.427,0.626,-11.821,0.0385,0.0274,0.00395,0.106,0.743,126.877,219587,,,,,Low,Low,Low,Medium,Medium,Medium,1.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Death,Voice Of The Soul,['Lead 1  Chuck Schuldiner'],['Distortion Guitar'],57,1998,0.158,0.572,-6.293,0.0346,0.000926,0.893,0.144,0.347,79.176,223933,,,,,Low,Low,Low,Low,Medium,Medium,0.0,0.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Jeff Buckley,Hallelujah,,['Acoustic Guitar (nylon)'],70,1994,0.324,0.136,-10.33,0.0318,0.931,0.00117,0.176,0.0831,97.256,413827,,,,,Low,Low,Low,High,Medium,Medium,0.0,0.0,0.0,"['drums_Advanced', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Skillet,Monster,['Ben Kasica'],['Distortion Guitar'],76,2009,0.64,0.957,-2.336,0.0741,0.0431,0.0,0.0789,0.692,134.992,178013,['JohnCooper'],"['JenLedger', 'LoriPeters']",[],[],Medium,Low,Low,Medium,Low,Medium,5.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Beginner', 'bass_Intermidiate']"
Lil Peep,Star Shopping,,['Acoustic Guitar (steel)'],83,2015,0.585,0.471,-9.934,0.0616,0.0967,0.0184,0.115,0.323,93.099,142000,,,,,Medium,Low,Medium,Medium,Medium,Low,9.0,8.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Beginner']"
Van Halen,Hot For Teacher,['Eddie Van Halen'],['Distortion Guitar'],68,1984,0.552,0.947,-4.671,0.15,0.000652,0.00025,0.0637,0.465,127.631,282747,"['DavidLeeRoth', 'SammyHagar', 'GaryCherone']",['MichaelAnthony'],['AlexVanHalen'],[],Low,Low,Low,Medium,Medium,Medium,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Aerosmith,Walk This Way,"['JoePerry', 'BradWhitford']","['Overdriven Guitar', 'Rhythm Guitar 1']",75,1975,0.653,0.73,-10.613,0.043,0.0114,1.03e-05,0.0754,0.894,108.705,220400,['StevenTyler'],['TomHamilton'],['JoeyKramer'],[],Low,Low,Low,Low,Low,Medium,1.0,0.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Tool,The Pot,['AdamJones'],"['Distortion Guitar', 'Guitar 1 w/ delay']",68,2006,0.469,0.79,-6.889,0.0391,0.000148,0.372,0.282,0.466,107.45,381947,['MaynardJamesKeenan'],['JustinChancellor'],['DannyCarey'],[],Low,Low,Low,Medium,Medium,Medium,3.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Eric Clapton,Layla,['Eric Clapton'],['Acoustic Guitar (steel)'],69,1992,0.558,0.524,-11.626,0.0459,0.321,0.000952,0.94,0.636,93.654,289027,,,,,Low,Low,Low,Medium,Medium,Low,2.0,1.0,1.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Beginner']"
Jason Becker,Altitudes,['Jason Becker'],['Distortion Guitar'],42,1988,0.198,0.687,-13.29,0.0467,0.0349,0.893,0.154,0.299,113.241,339573,,,,,Low,Low,Low,Medium,Medium,Medium,0.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Advanced', 'piano_Intermidiate', 'bass_Intermidiate']"
Lamb Of God,Laid To Rest,['Willie Adler'],['Distortion Guitar'],65,2004,0.366,0.956,-3.725,0.108,0.000293,0.00447,0.449,0.159,104.016,230127,['RandyBlythe'],['ChrisAdler'],[],[],Medium,Low,Low,Medium,Medium,High,6.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
Iron Maiden,The Trooper,['Dave Murray'],['Distortion Guitar'],64,1983,0.285,0.908,-4.601,0.0705,0.0318,0.00909,0.311,0.669,159.756,252733,"['BruceDickinson', 'BayleyCooke']",['SteveHarris'],['NickoMcBrain'],[],Low,Low,Low,Low,High,Medium,2.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Advanced', 'bass_Intermidiate']"
Death,Symbolic,['Chuck Schuldiner'],['Distortion Guitar'],52,1995,0.364,0.982,-7.034,0.195,6.65e-05,0.0124,0.163,0.127,113.772,392800,,,,,Low,Low,Low,High,Low,Medium,1.0,1.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Lamb Of God,Redneck,['Mark Morton'],['Distortion Guitar'],63,2006,0.512,0.996,-2.1,0.114,5.63e-05,0.000167,0.347,0.0601,130.931,220880,['RandyBlythe'],['ChrisAdler'],[],[],Low,Low,Low,Medium,Low,Medium,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Mountain,Mississippi Queen,['Gtr 2'],['Distortion Guitar'],70,1970,0.581,0.624,-8.346,0.0777,0.0987,0.0,0.0411,0.637,139.714,151293,,,,,Low,Low,Low,High,Medium,High,4.0,1.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
Simon And Garfunkel,Sound Of Silence,,['Acoustic Guitar (steel)'],72,1964,0.525,0.216,-13.551,0.0301,0.837,0.0,0.107,0.328,106.761,185413,,,,,Low,Low,Low,Low,Medium,Low,0.0,1.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Beginner']"
Ozzy Osbourne,Mr. Crowley,['Randy Rhoads'],['Distortion Guitar'],65,2020,0.307,0.748,-6.514,0.0568,0.212,0.000153,0.368,0.347,108.227,302648,,,,,Low,Low,Low,Medium,Medium,Medium,2.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Metallica,All Nightmare Long,['James Hetfield'],['Distortion Guitar'],54,2008,0.271,0.985,-0.805,0.123,0.000568,0.00112,0.0809,0.354,182.981,477013,"['JamesHetfield', 'DaveMustaine']","['CliffBurton(1962-1986)', 'RobertTrujillo', 'JasonNewsted', 'RonMcGovney']",['LarsUlrich'],[],High,Low,Low,Medium,Medium,Medium,8.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Iron Maiden,Hallowed Be Thy Name,['Dave Murray'],['Distortion Guitar'],57,1982,0.313,0.882,-6.215,0.0355,0.0346,0.338,0.45,0.3,103.981,431093,"['BruceDickinson', 'BayleyCooke']",['SteveHarris'],['NickoMcBrain'],[],Medium,Low,Low,Low,High,Medium,4.0,2.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Advanced', 'bass_Intermidiate']"
