Band,Song,Player,Technique,Difficulty,Score
Sleepwalking,Bring Me The Horizon,nan,['Distortion Guitar'],Beginner,2/8
Luisxvilp811,L. 016,nan,"['Distortion Guitar', 'Guitarra 3']",Intermediate,3/8
State Champs,Dead And Gone,Backing,['Overdriven Guitar'],Beginner,2/8
A Day To Remember,If I Leave,nan,"['Distortion Guitar', 'Rhythm Guitar']",Beginner,2/8
Banished Archangels,The way of the bitch,Lead,['Distortion Guitar'],Beginner,2/8
Banished Archangels,No more,nan,"['Electric Guitar (clean)', 'Guitarra Limpia 2']",Beginner,2/8
The River Unrest,Michael Where's The Salsa?,nan,"['Distortion Guitar', 'Distortion Guitar 1']",Intermediate,3/8
Mawinswag,Fleshie,nan,"['Distortion Guitar', 'Lead Guitar']",Beginner,2/8
Shawn Cochran,Upbeat Chorus Idea,nan,['Distortion Guitar'],Beginner,2/8
Vivarush,mikan sei bakudan,nan,['Distortion Guitar'],Beginner,2/8
Ambleside,Wash Away,nan,"['Acoustic Guitar (steel)', 'Guitar Lead']",Beginner,2/8
Pigstyle,Annoyance,Track 3,['Distortion Guitar'],Intermediate,3/8
Machine Gun Kelly,Forget Me Too,Rhythm 1,['Distortion Guitar'],Beginner,2/8
Shrine,another another demo,nan,['Distortion Guitar'],Intermediate,4/8
Juan,NJSDSAKDKNJKASNMNMNMMNMM,nan,['Distortion Guitar'],Beginner,2/8
Mub,Pirates Medley,nan,"['Distortion Guitar', 'Lead Guitar']",Beginner,2/8
Oxt,hollow hunger,Lead,['Distortion Guitar'],Intermediate,3/8
Konhard,sdhjagtfuyfybasdfibsatodie,nan,['Distortion Guitar 2'],Intermediate,4/8
Division,New babuyna,Track 7,['Distortion Guitar'],Beginner,2/8
Hehe,haha,Track 2,['Distortion Guitar'],Beginner,2/8
Tweaker,DOOM 3 Main Theme,nan,"['Overdriven Guitar', 'Guitar 02']",Intermediate,3/8
Mental Fog,Sensory Overload,Lead Guitaer,['Distortion Guitar'],Intermediate,4/8
Rom,Primadonna,nan,"['Distortion Guitar', 'Right Guitar']",Intermediate,4/8
Rom,Bed Notes,nan,"['Overdriven Guitar 2', 'Rhythm Guitar']",Intermediate,3/8
Rom,Potted Plants,nan,"['Distortion Guitar 1', 'Distorted Guitar']",Beginner,2/8
Rom,Goliath's Four-Twentieth Dollar,nan,"['Distortion Guitar 2', 'Lead Guitar']",Intermediate,4/8
Rom,Tom Nook the Crook,nan,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
Ben Mason,3.yr,nan,['Distortion Guitar 1'],Intermediate,3/8
Rom,Stack Cats,nan,"['Distortion Guitar', 'Guitar 1 (Lead)']",Intermediate,4/8
Rom,Feathers,Aux Lead,['Distortion Guitar'],Intermediate,4/8
Lorikk,Nikocado Avocado will die on the 16th of february 2022,nan,['Distortion Guitar'],Intermediate,4/8
Horizon Flame,Zalupa,nan,['Distortion Guitar 1'],Intermediate,3/8
Billy Talent,The Wolf,Ian D'Sa,['Acoustic Guitar (steel)'],Beginner,2/8
Horizon Flame,"Dancing people, fuking people",nan,['Distortion Guitar 3'],Beginner,2/8
Mental Fog,For Whom the Bell Tolls,nan,"['Overdriven Guitar', 'Lead Guitar']",Intermediate,3/8
Natewantstobattle,Shell,nan,"['Overdriven Guitar', 'Rhythm Guitar']",Beginner,2/8
Natewantstobattle,Hero of Our Time,Lead,['Overdriven Guitar'],Intermediate,4/8
Natewantstobattle,Grounded,nan,"['Overdriven Guitar', 'Rhythm Guitar']",Beginner,2/8
Natewantstobattle,Drowning,nan,"['Overdriven Guitar', 'Rhythm Guitar']",Beginner,2/8
Natewantstobattle,The Evil King,nan,"['Overdriven Guitar', 'Lead Guitar']",Beginner,2/8
Belki Biraz,Aklımda Biri Var,nan,['Overdriven Guitar 2'],Beginner,2/8
Droch,stringskip,nan,"['Distortion Guitar', 'Electric Guitar']",Intermediate,4/8
Yellowcard,Ocean Avenue,Ryan Key,"['Rhythm Guitar', 'Distortion Guitar']",Beginner,2/8
Susliki,666,Ample Metal Eclipse 1,['Distortion Guitar'],Beginner,2/8
Cheesecake Blizzard,horro,nan,"['Electric Guitar (clean) 2', 'Clean Guitar']",Beginner,2/8
Falling In Reverse,Voices In My Head,nan,"['Distortion Guitar', 'Rhythm Guitar']",Beginner,2/8
Metallica,Master Of Puppets,Kirk Hammett,['Distortion Guitar'],Intermediate,4/8
Primus,Shake Hands With Beef,nan,['Distortion Guitar'],Intermediate,4/8
Kronowski,The Pyre,Drop D,['Overdriven Guitar'],Intermediate,5/8
Bloodywood,Ari Ari,nan,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
Limbezz,Lunegurt,nan,['Distortion Guitar'],Beginner,2/8
Vacant Home,Shiver,nan,"['Overdriven Guitar', 'E.Guitar II (Right)']",Beginner,2/8
Rammstein,Liebe Ist Für Alle Da,Paul H. Landers,['Distortion Guitar'],Intermediate,3/8
Three Days Grace,Scared,nan,"['Distortion Guitar', 'Lead Guitar I']",Beginner,1/8
Deftones,Teething,guitar [Stef Carpenter,['Distortion Guitar'],Intermediate,3/8
Mesi,mesi,nan,"['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8
Roman Pakholok,Not Seeing Is Believing,Track 2,['Distortion Guitar'],Intermediate,4/8
Capsicum,Butchered Lamb,nan,['Distortion Guitar'],Intermediate,3/8
Czernabog,UHP,Track 2,['Distortion Guitar'],Intermediate,4/8
Anarchy Club,Collide,nan,"['Electric Guitar (clean)', 'Solo Guitar (Clean)']",Beginner,2/8
Npc,Foreverlong,nan,['Overdriven Guitar'],Beginner,2/8
Me,Random Solo Thirteen,Track 2,['Distortion Guitar 2'],Beginner,2/8
The Living Tombstone,Like a Spinning Record,nan,"['Overdriven Guitar', 'Dist. Guitar']",Beginner,2/8
The Living Tombstone,Like a Spinning Record,nan,"['Acoustic Guitar (nylon)', 'Dist. Guitar']",Beginner,2/8
Me,Random Solo Fifteen,nan,['Distortion Guitar 1'],Intermediate,5/8
Ministry,Rio Grande Blood,Track 6,['Distortion Guitar'],Advanced,8/8
Rage Against The Machine,Killing In The Name Of,Tom Morello,['Distortion Guitar'],Intermediate,3/8
28 Days Later,In a Heartbeat,nan,['Distortion Guitar 1'],Beginner,2/8
28 Days Later,In the House - In a Heartbeat,nan,['Distortion Guitar 2'],Beginner,2/8
Mud Flow,Chemicals,nan,"['Distortion Guitar', 'Electric Guitar']",Beginner,2/8
Jeff Williams,Red Like Roses,nan,"['Acoustic Guitar (nylon)', 'Backing Guitar']",Intermediate,3/8
Ntcn,lil pernul original,nan,['Distortion Guitar'],Beginner,2/8
Ntcn,lil pernul bro,nan,['Distortion Guitar'],Beginner,2/8
Martin Sames,Neo Classic Arpeggio,nan,['Distortion Guitar'],Advanced,7/8
Mawinswag,rgb,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Virgin's Joy,Break the shacles,nan,['Distortion Guitar'],Beginner,2/8
Virgin's Joy,Break the Shakles,nan,['Distortion Guitar'],Beginner,2/8
Virgin's Joy,Break,nan,['Distortion Guitar'],Beginner,2/8
Csakos1337,Hatrid,nan,['Distortion Guitar 1'],Intermediate,3/8
Csakos1337,shesh,nan,['Distortion Guitar 1'],Intermediate,4/8
Bench Players,In My Head,nan,['Distortion Guitar 2'],Beginner,2/8
Mawinswag,K.t,Track 2,['Distortion Guitar'],Intermediate,3/8
Mawinswag,KT,nan,['Distortion Guitar'],Intermediate,3/8
Galendwagen,bullet time,nan,['Distortion Guitar 1'],Beginner,2/8
Insomnia,Alcohol,nan,"['Distortion Guitar', 'guitarra ritmica']",Beginner,2/8
Helmet,Unsung,Peter Mengede,['Distortion Guitar'],Beginner,2/8
Nesto,Nesto,Track 2,['Acoustic Guitar (steel)'],Beginner,2/8
Bench Players,Wake Up Your Mind,nan,"['Distortion Guitar', 'Electric Guitar']",Intermediate,4/8
Avenged Sevenfold,Strength of the World Solo,Zacky Vengeance,['Acoustic Guitar (steel)'],Beginner,2/8
Muse,Psycho,nan,"['Overdriven Guitar', 'Distortion Guitar']",Intermediate,3/8
Muse,Plug In Baby,nan,"['Distortion Guitar', 'Chris Wolstenholme (Guitar)']",Beginner,2/8
Tool,Vicarious,nan,['Distortion Guitar'],Intermediate,4/8
Tool,Schism,nan,"['Distortion Guitar', 'Adam Jones (Guitar I)']",Intermediate,5/8
Audioslave,#1 Zero,nan,['Distortion Guitar'],Beginner,2/8
Messengers Of Doom (M.O.D.),Last Building,Frans,['Distortion Guitar'],Intermediate,3/8
Morrissey,Let Me Kiss You,nan,['Acoustic Guitar (nylon)'],Beginner,1/8
Muse,TSP,nan,['Acoustic Guitar (steel)'],Beginner,1/8
Queens Of The Stone Age,Give The Mule What He Wants,nan,['Overdriven Guitar'],Intermediate,3/8
Red Alert,- Grinder,Track 3,['Overdriven Guitar'],Beginner,2/8
Scorpions,White Dove,nan,['Acoustic Guitar (nylon)'],Beginner,1/8
Letter Kills,Lights Out,Pista 4,['Acoustic Guitar (nylon)'],Beginner,1/8
NOFX,One Celled Creature,nan,['Overdriven Guitar'],Beginner,1/8
Wolfmother,Colossal,nan,['Distortion Guitar'],Beginner,1/8
The DirtyRun,The Dirty Show,Alexis !,['Acoustic Guitar (nylon)'],Intermediate,3/8
Audio Adrenaline,Some Kind Of Zombie,nan,['Acoustic Guitar (nylon)'],Intermediate,3/8
Muse,Osaka Jam,Chris,['Distortion Guitar'],Intermediate,4/8
Flyleaf,So I Thought,nan,['Electric Guitar (jazz)'],Beginner,1/8
Disco Ensemble,Sink Your Teeth In,nan,['Distortion Guitar'],Intermediate,3/8
Death From Above 1979,Blood On Our Hands,nan,['Overdriven Guitar'],Intermediate,3/8
Gotham Road,Ophelia,Traccia 5,['Electric Guitar (clean)'],Intermediate,3/8
Diffraction,Unknown,nan,['Acoustic Guitar (nylon)'],Intermediate,3/8
New Age Murder,Riot Control,Track 6,['Distortion Guitar'],Intermediate,3/8
Silverchair,Anthem For The Year 2000,Overdubs,['Distortion Guitar 2'],Beginner,1/8
Styles Of Beyond,Nine Thou Superstars,Tony Campos,['Overdriven Guitar'],Beginner,1/8
Tankcsapda,Füst És Lábdob,nan,['Distortion Guitar'],Beginner,1/8
Phish,Bliss,nan,['Acoustic Guitar (nylon)'],Intermediate,3/8
Muse,Plug In Baby,nan,['Distortion Guitar'],Beginner,2/8
Black Rebel Motorcycle Club,River Styx,nan,['Electric Guitar (jazz)'],Beginner,1/8
Brand New,Daisy,nan,['Distortion Guitar'],Beginner,1/8
Jazz Jackrabbit,Technoir,nan,['Distortion Guitar 1'],Intermediate,3/8
Felix Fabunan,Forget You,nan,['Overdriven Guitar'],Intermediate,3/8
Selador Se7en,Burn It To The Ground,nan-2-3-4,['Distortion Guitar'],Intermediate,3/8
Smashing Pumpkins,Freak,nan,['Overdriven Guitar'],Intermediate,3/8
The Hall Effect,Hitman Story,Bajo,['Acoustic Guitar (steel)'],Intermediate,3/8
Muse,Drum & Bass Jam,Chris,['Distortion Guitar'],Intermediate,4/8
Theme Songs,Skyrim Theme,nan,['Distortion Guitar'],Beginner,1/8
Neen :D,,nan,['Acoustic Guitar (nylon)'],Beginner,2/8
Exodus,Funeral Hymn,nan,['Distortion Guitar'],Intermediate,3/8
Tool,Intension,B. Harmonics,['Electric Guitar (clean)'],Intermediate,3/8
Understanding For Nesny,Black Mind,Pista 6,['Electric Guitar (jazz)'],Intermediate,4/8
The Scarecrows,The Black Song,Jon Perfec,['Distortion Guitar'],Intermediate,3/8
Wolvespirit,Blowin´Up,Spur 1,['Acoustic Guitar (steel)'],Intermediate,3/8
123asd,Pl,nan,['Distortion Guitar'],Intermediate,3/8
123asd,Sun,nan,['Distortion Guitar'],Intermediate,4/8
Muse,Sunburn,nan,['Distortion Guitar'],Intermediate,4/8
Muse,Stockholm Syndrome,nan,['Distortion Guitar'],Beginner,1/8
123asd,Ps,nan,['Distortion Guitar'],Intermediate,3/8
Muse,Psycho,nan,['Distortion Guitar'],Beginner,2/8
123asd,Def,nan,['Distortion Guitar'],Intermediate,3/8
Muse,Jfk + Defector,nan,['Distortion Guitar'],Beginner,1/8
123asd,Mc,nan,['Distortion Guitar'],Intermediate,3/8
123asd,St,nan,['Distortion Guitar'],Intermediate,3/8
Muse,Micro Cuts,nan,['Distortion Guitar'],Beginner,2/8
123asd,Wo,nan,['Distortion Guitar'],Intermediate,3/8
Custom Songs,Hero Comes Home,levi,['Acoustic Guitar (steel)'],Intermediate,3/8
Switchfoot,Head Over Heels In This Life,nan,['Distortion Guitar'],Intermediate,3/8
InMe,Seven Weeks,nan,['Distortion Guitar 2'],Intermediate,3/8
Daniel Munoz,Tantan,Pista 2,['Overdriven Guitar'],Intermediate,3/8
Silver City,Bass Melody,nan,['Overdriven Guitar'],Intermediate,3/8
Kane,As Long As You Want This,nan,['Overdriven Guitar'],Intermediate,3/8
Cinderella,Dead Mans Road,nan,['Acoustic Guitar (steel)'],Beginner,1/8
I Mother Earth,Soft Bomb Salad,nan,['Distortion Guitar'],Intermediate,3/8
Lindemann,To Delete,nan,['Overdriven Guitar'],Intermediate,3/8
Ignite,Burned Up,w/ Dist,['Overdriven Guitar'],Intermediate,3/8
Stutterfly,Through Me,w/finger,['Distortion Guitar'],Intermediate,3/8
Scary Kids Scaring Kids,World As We Know It,nan,['Electric Guitar (clean)'],Intermediate,3/8
Scorpions,Still In Love With You,nan,['Acoustic Guitar (nylon)'],Beginner,1/8
Amen,Under The Robe,nan,['Overdriven Guitar'],Intermediate,3/8
Amen,CK Killer,nan,['Overdriven Guitar'],Intermediate,3/8
Amen,Piss Virus,nan,['Distortion Guitar'],Intermediate,3/8
Death,Sacrificial,Chuck,['Acoustic Guitar (steel)'],Beginner,1/8
Mokoma,Hiljaisuuden Julistaja,nan,['Overdriven Guitar'],Beginner,2/8
Annihilator,Ritual,nan,['Acoustic Guitar (nylon)'],Intermediate,3/8
Funeral For A Friend,Kicking And Screaming,Gavin Burrough,['Distortion Guitar'],Beginner,1/8
Gamma Ray,Dethrone Tyranny,nan,['Acoustic Guitar (nylon)'],Intermediate,4/8
The Call,Shayad,nan,['Overdriven Guitar'],Beginner,1/8
Tool,H.,nan,['Overdriven Guitar'],Beginner,1/8
Apocalyptica,Worlds Collide,nan,['Distortion Guitar'],Intermediate,3/8
Grinspoon,Carried Away,nan,"['Guitar harmonics', 'Whammy Guitar']",Intermediate,3/8
Hatebreed,As Damaged As Me,Track 3,['Overdriven Guitar'],Beginner,2/8
S.O.D.,Sargent D And The Sod,Pista 2,['Overdriven Guitar'],Intermediate,3/8
Ministry,Useless,nan,['Overdriven Guitar'],Intermediate,3/8
Mamamama,Asesin,nan,['Distortion Guitar'],Intermediate,3/8
Muse,Assassin  + Grand Omega Riff,nan,['Distortion Guitar'],Intermediate,3/8
Mamamama,La Asesin,nan,['Distortion Guitar'],Intermediate,3/8
Muse,Assassin Live,nan,['Distortion Guitar'],Intermediate,3/8
Mamamamama,Yss Pls,nan,['Distortion Guitar'],Intermediate,3/8
123asd,Ts,nan,['Distortion Guitar'],Intermediate,3/8
Muse,Yes Please,nan,['Distortion Guitar'],Intermediate,3/8
Muse,The Small Print,nan,['Distortion Guitar'],Beginner,1/8
Gilang,Fiction,nan,['Distortion Guitar'],Intermediate,4/8
Dieicuno,Detrás de mí,Track 3,['Acoustic Guitar (steel)'],Intermediate,3/8
Hundred Reasons,Silver,nan,"['Acoustic Guitar (nylon)', 'Bass Guitar']",Intermediate,3/8
Royal Blood,"Hook, Line & Sinker",Mike,['Distortion Guitar'],Intermediate,3/8
MSB Competition November 2004,I Want Justice,nan,['Overdriven Guitar'],Intermediate,3/8
123asd,P,nan,['Distortion Guitar'],Intermediate,3/8
Black Rebel Motorcycle Club,Shade Of Blue,nan,['Electric Guitar (jazz)'],Beginner,1/8
Black Rebel Motorcycle Club,Heart & Soul,nan,['Electric Guitar (jazz)'],Intermediate,3/8
Glassjaw,Twos Of Mescaline,nan,['Distortion Guitar'],Beginner,1/8
Coldplay,Charlie Brown,Effects 2,['Distortion Guitar'],Intermediate,4/8
The Dear Hunter,The Most Cursed Of Hands / Who Am I,nan,['Acoustic Guitar (steel)'],Beginner,1/8
Ministry,Lay Lady Lay,nan,['Overdriven Guitar'],Beginner,1/8
Muse,Blockades,nan,['Distortion Guitar'],Beginner,1/8
Testman,Midi Surf,Track 3,['Acoustic Guitar (steel)'],Intermediate,3/8
Royal Blood,Lights Out,nan,['Distortion Guitar'],Beginner,2/8
Yesn't,shred wars,nan,['Acoustic Guitar (steel)'],Beginner,1/8
Soprano,Welcome To The Family,Kate,['Acoustic Guitar (steel)'],Beginner,2/8
Lokhanov,Four,nan,['Overdriven Guitar'],Advanced,8/8
Save Us From The Archon,Within Walls,Bradley,['Acoustic Guitar (steel)'],Intermediate,3/8
Save Us From The Archon,Thread Between,Bradley,['Acoustic Guitar (steel)'],Intermediate,3/8
Save Us From The Archon,Trancing Nostalgia,Bradley,['Acoustic Guitar (steel)'],Beginner,2/8
Save Us From The Archon,Until We Unfold,Bradley,['Acoustic Guitar (steel)'],Intermediate,3/8
Save Us From The Archon,Of Forgiveness,Bradley,['Acoustic Guitar (steel)'],Intermediate,3/8
Save Us From The Archon,To Find Clarity,Bradley,['Acoustic Guitar (steel)'],Intermediate,3/8
Fikko,160819,fx bajo,['Distortion Guitar'],Intermediate,5/8
Bdubjowizzle,jberg04,nan,['Acoustic Guitar (steel)'],Intermediate,3/8
Tool,Jambi,nan,['Distortion Guitar'],Beginner,2/8
Muse,Reapers,Chris Wolstenholme,['Distortion Guitar'],Intermediate,4/8
9kt,bre 2,Pista 12,['Acoustic Guitar (steel)'],Intermediate,3/8
Rendevous,Shape of You,Nima,['Distortion Guitar'],Beginner,1/8
Fart,Cancion En Drop,nan,['Distortion Guitar'],Intermediate,3/8
Royal Blood,You Can Be So Cruel,nan,['Distortion Guitar'],Beginner,2/8
Rendevous,Schism Cover,nan,['Distortion Guitar'],Intermediate,5/8
Muse,Assassin,Chris effects,['Distortion Guitar'],Intermediate,3/8
Melvins,Night Goat,nan,['Overdriven Guitar'],Beginner,1/8
Concepts,Groove,nan,['Overdriven Guitar'],Intermediate,3/8
Muse,Plug In Baby,nan,"['Distortion Guitar', 'Chris Wolstenholme (Guitar)']",Beginner,2/8
Muse,New Born ver7,nan,['Overdriven Guitar'],Beginner,2/8
Luisxvilp811,L. 032,Pista 4,['Acoustic Guitar (steel)'],Intermediate,3/8
Dum Dum Girls,Evil Blooms,nan,['Overdriven Guitar'],Intermediate,3/8
Avenged Sevenfold,God Hates Us,Johnny Christ,['Acoustic Guitar (steel)'],Beginner,2/8
Muse,Hyper Music,nan,['Distortion Guitar'],Intermediate,4/8
Avenged Sevenfold,Roman Sky ver.2,nan,['Acoustic Guitar (steel)'],Intermediate,3/8
Devándal,culos666,Flos Fuzz,['Distortion Guitar'],Intermediate,3/8
Slaver,Be nothing,nan,['Distortion Guitar'],Intermediate,4/8
Yoshiya Terayama,Voltaic Black Knight,nan,['Distortion Guitar'],Intermediate,3/8
Tool,Invincible,Justin,['Distortion Guitar'],Intermediate,3/8
Cum Laudes,Bass Album Opener,nan,['Distortion Guitar'],Intermediate,3/8
Muse,Stockholm Syndrome,nan,['Distortion Guitar'],Intermediate,3/8
Pesho,za koncerta 1,NorkaMotorka,['Acoustic Guitar (steel)'],Intermediate,3/8
Muse,The Small Print,nan,"['Distortion Guitar', 'Bass Guitar']",Intermediate,3/8
Slaver,Buy night,nan,['Distortion Guitar'],Intermediate,3/8
Jilstrom,test,Tim Commerford,['Distortion Guitar'],Intermediate,3/8
Lemon Demon,Word Disassociation,nan,['Distortion Guitar'],Beginner,1/8
Megadeth,A Tout Le Monde,Marty Friedman,['Distortion Guitar'],Intermediate,3/8
Guns N' Roses,Sweet Child O' Mine,Slash,['Electric Guitar (jazz)'],Beginner,2/8
Alice in Chains,Would?,Jerry Cantrell (Gui.2),['Distortion Guitar'],Intermediate,3/8
Van Halen,Ain't Talkin' 'Bout Love,Eddie Van Halen ,['Distortion Guitar'],Beginner,2/8
Dream Theater,Stream of Consciousness,nan,"['Distortion Guitar', 'Main Guitar']",Intermediate,4/8
Michael Jackson,Beat It,Steve Lukather,['Distortion Guitar'],Beginner,2/8
Stratovarius,Visions,Tolkki Lead,['Overdriven Guitar'],Intermediate,4/8
Yngwie Malmsteen,Vengeance,nan,"['Distortion Guitar', 'Solo Guitar']",Advanced,7/8
Guns N' Roses,Rocket Queen,nan,"['Distortion Guitar', 'Guitar 1 (Slash)']",Intermediate,4/8
HammerFall,Riders Of The Storm,nan,"['Distortion Guitar', 'Guitar 2']",Beginner,2/8
Misfits,Dig Up Her Bones,Doyle Wolfgang von Frankenstein,['Distortion Guitar'],Intermediate,4/8
Dokken,Alone Again,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
Stratovarius,Eternity,Tolkki,['Distortion Guitar'],Intermediate,3/8
Metallica,Bleeding Me,James Hetfield Clean,['Electric Guitar (clean)'],Beginner,2/8
Slayer,Spill The Blood,Jeff Hanneman,['Distortion Guitar'],Beginner,2/8
Megadeth,The Killing Road,Dave Mustaine,['Distortion Guitar'],Beginner,2/8
Saxon,747 Strangers In The Night,nan,"['Distortion Guitar', 'Guitar 1']",Beginner,2/8
Stratovarius,Soul Of A Vagabond,nan,"['Distortion Guitar', 'Guitar Overdubb']",Beginner,1/8
Megadeth,Addicted To Chaos,nan,"['Distortion Guitar', 'Guitar 3 (Fills and Solo)']",Intermediate,4/8
Saxon,I've Got To Rock To Stay Alive,nan,"['Distortion Guitar', 'Paul Quinn (Guitar)']",Beginner,2/8
Saxon,Battering Ram,Doug Scarratt,['Distortion Guitar'],Intermediate,3/8
KISS,God Gave Rock And Roll To You,nan,"['Overdriven Guitar', 'Lead Guitar']",Intermediate,3/8
Guns N' Roses,This I Love,Robin Finck,"['Lead Guitar', 'Overdriven Guitar']",Intermediate,3/8
Van Halen,Runaround,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Sungha Jung,Reminiscence,Æ®·¢ 1,['Acoustic Guitar (steel)'],Intermediate,4/8
Steve Hansen,DADDY! DADDY! DO! - Kaguya-sama Love is War S2 OP,nan,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,3/8
Ancient Enemy,Heist of the Scarab Amulet,nan,"['Distortion Guitar', 'Dave Guitar']",Intermediate,3/8
Nirvana,If You Must,nan,"['Overdriven Guitar', 'Guitar (Kurt Kobain)']",Beginner,2/8
Tyoma,Black Cat,nan,['Distortion Guitar'],Beginner,2/8
Impellitteri,Fly Away,Solo,['Overdriven Guitar'],Advanced,8/8
Unnamed,Song 2,nan,['Overdriven Guitar'],Beginner,2/8
Buckethead,Dancing in the Snow,nan,['Acoustic Guitar (steel)'],Intermediate,3/8
Quixöte,Spectra,Pista 1,['Distortion Guitar'],Beginner,2/8
Quixöte,El Caballero Del Infierno Acústico,Pista 2,['Acoustic Guitar (steel)'],Intermediate,3/8
Lithium,Cold Pizza,Tom,['Distortion Guitar'],Beginner,2/8
Lithium,Creation,Tom,['Distortion Guitar'],Beginner,2/8
Metallica,Justice / Spangled Intro,Kirk Hammett,['Electric Guitar (jazz)'],Beginner,2/8
First Of October,Do You Want To?,Rob Scallon,"['Guitar', 'Overdriven Guitar']",Beginner,2/8
Slaver (Test),Acoustic Metal,Clean 1,['Electric Guitar (clean)'],Intermediate,3/8
Kirisute,Kiri #1,nan,"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Beginner,2/8
Alice in Chains,Don't Follow,nan,['Acoustic Guitar (steel)'],Beginner,2/8
Waterparks,Blonde,Geoff,"['Lead Guitar', 'Distortion Guitar']",Beginner,2/8
Pierce The Veil,Caraphernelia,Vic Fuentes,['Acoustic Guitar (steel)'],Beginner,1/8
Lithium,Welt Marks,Tom,['Distortion Guitar'],Intermediate,4/8
Lithium,Jack Off,Tom,['Distortion Guitar'],Beginner,2/8
Lithium,Shafted,Tom,['Distortion Guitar'],Intermediate,3/8
Lithium,My Glass Is Half Empty,```Tom,['Distortion Guitar'],Beginner,2/8
Galneryus,Raise My Sword Solo,nan,['Distortion Guitar'],Advanced,8/8
Candlemass,Black Stone Wielder,nan,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
Tank,Walking Barefoot Over Glass,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Nirvana,Beeswax,Kurt Cobain,['Distortion Guitar'],Beginner,2/8
Manilla Road,Necropolis,nan,"['Overdriven Guitar', 'Additional Guitar']",Beginner,2/8
Lithium,Oily Hair,`Tom,['Distortion Guitar'],Intermediate,4/8
Cattle Decapitation,Kingdom Of Tyrants,Josh Elmore (Rhythm),['Distortion Guitar'],Intermediate,4/8
Tyoma,The King Of Judea,nan,['Distortion Guitar 3'],Intermediate,5/8
Dark Funeral,The Arrival of Satan's Empire,nan,['Distortion Guitar'],Intermediate,4/8
Extreme,Play With Me - Solo,Nuno Bettencourt,"['Guitar Solo', 'Distortion Guitar']",Advanced,8/8
Fido Jack Harper,ska,nan,['Distortion Guitar 1'],Beginner,2/8
Fido Jack Harper,ska,nan,['Distortion Guitar 1'],Beginner,2/8
Fido Jack Harper,indie,nan,['Overdriven Guitar 1'],Intermediate,3/8
And End...,Funeral Waltz,nan,['Distortion Guitar 2'],Beginner,2/8
Ethan Kral,Silience,nan,"['Electric Guitar (clean)', 'Guitar 2']",Intermediate,3/8
Unnamed,Song 1,nan,"['Electric Guitar (clean)', 'Lead Guitar']",Beginner,2/8
Serj Tankian,Bari Aragil,Track 4,['Overdriven Guitar'],Beginner,2/8
Face Of Death,Riot Uncontrol,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
Its Always You,Falling Off our Seats,nan,"['Overdriven Guitar', 'Lead Guitar']",Beginner,2/8
Dark Funeral,Unchain My Soul,nan,"['Distortion Guitar 1', 'Rhythm Guitar']",Beginner,2/8
Rom,Pathways,nan,"['Distortion Guitar', 'Lead Guitar Left']",Intermediate,4/8
Liam Arellano (Quixöte),Frozen,Pista 3,['Distortion Guitar'],Intermediate,3/8
Jimi Hendrix,All along the watchtower easy bass,nan,"['Acoustic Guitar (steel)', 'Guitar II']",Beginner,2/8
Scorpions,Pictured Life,Uli Jon Roth Overdubs,['Distortion Guitar'],Intermediate,5/8
Black Sabbath,Sins Of The Father,nan,['Distortion Guitar'],Beginner,2/8
Tk From Ling Tosite Sigure,katharsis,rythm,['Overdriven Guitar'],Beginner,2/8
Lithium,Hourglass Figure,Tom,['Distortion Guitar'],Beginner,2/8
Sex Pistols,The Great Rock and Roll Swindle,nan,"['Distortion Guitar', 'Rhythmn Guitar']",Beginner,2/8
Hoodini,until it pres,James (Dist),['Distortion Guitar'],Intermediate,3/8
Lithium,Scum,Tom,['Distortion Guitar'],Beginner,2/8
Lithium,Sheep,Tom,['Distortion Guitar'],Beginner,2/8
Kirisute,Total Annihilation,Artiom,['Distortion Guitar'],Intermediate,3/8
Rage,In A Nameless Time,nan,['Distortion Guitar 2'],Beginner,2/8
Rage,Let Them Rest in Peace,nan,"['Distortion Guitar 2', 'Electric Guitar']",Intermediate,4/8
Richard Renck,Bass Groove,Pista 4,['Distortion Guitar'],Intermediate,4/8
Staind,It's Been A While,nan,"['Acoustic Guitar (steel)', 'Aaron Lewis (Acoustic Guitar)']",Beginner,1/8
Massacra,Seas Of Blood,nan,['Distortion Guitar'],Intermediate,4/8
The Killers,Smile Like You Mean It,Dave Keuning,"['Rhythm Guitar', 'Overdriven Guitar']",Beginner,2/8
Lovejoy,The Fall,Wilbur Soot,"['Rhythm Guitar', 'Overdriven Guitar']",Beginner,2/8
Lithium,Bludgeoned,Tom,['Distortion Guitar'],Beginner,2/8
