Band,Song,Guitarist,Technique,Difficulty,Score,POPULARITY,RELEASE_DATE,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Singer,Bassist,Drummer,Pianist,Energy_Mean_Drums_N,Energy_Mean_Piano_N,Energy_Mean_Bass_N,Energy_std_Drums_N,Energy_std_Piano_N,Energy_std_Bass_N,BPM_Mean_Drums_N,BPM_Mean_Piano_N,BPM_Mean_Bass_N,BPM_std_Drums_N,BPM_std_Piano_N,BPM_std_Bass_N,Drums_Energy_Level,Piano_Energy_Level,Bass_Energy_Level,Drums_BPM_Level,Piano_BPM_Level,Bass_BPM_Level,Combine_Energy_BPM_Drums,Combine_Energy_BPM_Piano,Combine_Energy_BPM_Bass,Difficulty_Level_Drums,Difficulty_Level_Piano,Difficulty_Level_Bass,Quantity_Relevance_Drums,Quantity_Relevance_Bass,Quantity_Relevance_Piano,Relevance_Drums,Relevance_Bass,Relevance_Piano,Instruments_Difficulty
Red Hot Chili Peppers,Scar Tissue,['John Frusciante'],['Electric Guitar (clean)'],Intermediate,3/8,79,1999,0.595,0.717,-4.803,0.0295,0.0779,0.00274,0.108,0.547,88.969,215907,['AnthonyKiedis'],['Flea'],"['ChadSmith', 'JackIrons']",[],0.1536811574395129,0.0008753762500579,0.1323513585113628,0.0938522868903936,0.0003771831550498,0.1031352828229811,0.2367386017468253,0.5057603829837246,0.4778447648477077,0.2071857534521213,0.3405666350262023,0.3546583401218838,Low,Low,Low,Low,Medium,Medium,Low-Low,Low-Medium,Low-Medium,Beginner,Intermidiate,Intermidiate,0.2143391317148018,0.1845904581748436,0.0012208873780445,2.0,2.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Linkin Park,Numb,['ChesterBennington(1976-2017)'],"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Beginner,2/8,82,2003,0.496,0.863,-4.153,0.0381,0.0046,0.0,0.639,0.243,110.018,185587,['JoeHahn'],"['MikeShinoda', 'BradDelson']",['DavidFarrell'],['RobBourdon'],0.2895434403816715,0.053306318245683,0.1334957989732047,0.195145203529427,0.0142480122839183,0.1516333710916851,0.5376652043632347,0.4560354648792438,0.4964112146942913,0.2766534134089431,0.470840156902829,0.1593591202825702,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.3355080421572092,0.1546880637001213,0.0617686190564113,3.0,2.0,1.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Ozzy Osbourne,Crazy Train,,"['Distortion Guitar', 'Randy Rhoads (Lead Guitar)']",Intermediate,5/8,78,2020,0.454,0.913,-4.008,0.107,0.408,0.000271,0.248,0.521,137.688,293183,,,,,0.1409456689017724,2.479372824788971e-06,0.1070930047572578,0.0687913326861482,1.2222818707600518e-07,0.0935507993499382,0.5517131160432975,0.6515187833162132,0.7443758463420648,0.3193473472520534,0.5823653677844496,0.0577309698687625,Low,Low,Low,Medium,Medium,High,Low-Medium,Low-Medium,Low-High,Intermidiate,Intermidiate,Advanced,0.1543764171979982,0.1172979241590995,2.7156328858586755e-06,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
Van Halen,Eruption,"['EddieVanHalen(1955-2020)', 'WolfgangVanHalen']","['Distortion Guitar', 'Guitar Effects']",Advanced,7/8,64,1978,0.225,0.689,-9.12,0.0555,0.469,0.813,0.337,0.5,93.798,102080,"['DavidLeeRoth', 'SammyHagar', 'GaryCherone']",['MichaelAnthony'],['AlexVanHalen'],[],0.0020011747365866,0.010326507631035,0.0,0.0006237532209077,0.0011262224964586,0.0,0.5257964515524544,0.5723356243862572,1.0,0.2306618451666747,0.5618994142550715,0.7447164947093479,Low,Low,Low,Medium,Medium,High,Low-Medium,Low-Medium,Low-High,Intermidiate,Intermidiate,Advanced,0.0029044626075278,0.0,0.0149876743556387,0.0,,0.0,"['drums_Intermidiate', 'guitar_Advanced', 'piano_Intermidiate', 'bass_Advanced']"
Led Zeppelin,Stairway To Heaven,['Jimmy Page'],['Overdriven Guitar'],Intermediate,5/8,79,1971,0.338,0.34,-12.049,0.0339,0.58,0.0032,0.116,0.197,82.433,482830,['RobertPlant'],['JohnPaulJones'],['JohnBonham(1948-1980)'],[],0.0392639852114939,0.0141148643554425,0.0430290486266175,0.0186754880615967,0.0109179009049264,0.0230254121448219,0.553688546458382,0.3549914963639991,0.6269202303396737,0.6052754396167727,0.2969553948548021,0.4523975049528518,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.1154823094455703,0.1265560253724045,0.0415143069277723,1.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Black Sabbath,Iron Man,['Tony Iommi'],"['Guitar', 'Distortion Guitar']",Intermediate,3/8,67,1970,0.336,0.792,-10.875,0.084,0.00351,0.00175,0.0437,0.427,155.587,355304,"['OzzyOsbourne', 'RonnieJamesDio(1942-2010)']",['GeezerButler'],['BillWard'],[],0.0549839052094415,0.0037002573045405,0.0187807148995315,0.0414972915965883,0.0004291751487141,0.0264650186773607,0.3652239139676647,0.4666685464933755,0.5922300923897937,0.6422812429699897,0.2940463484391132,0.3085202052983057,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.0694241227391938,0.0237130238630449,0.0046720420511875,1.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Dick Dale,Misirlou,,"['Electric Guitar (clean)', 'Guitar 1']",Intermediate,4/8,56,1960,0.293,0.932,-6.839,0.051,0.0136,0.906,0.289,0.657,173.262,135973,,,,,0.1143534949757716,3.874242000555411e-08,0.1939000841057041,0.0893574806600238,1.640301300718796e-09,0.1260551286604284,0.308027482700815,0.6061217581960037,0.4839903117572469,0.2244898585390996,0.2544452114560497,0.1373280401195416,Low,Low,Low,Low,Medium,Medium,Low-Low,Low-Medium,Low-Medium,Beginner,Intermidiate,Intermidiate,0.1226968830212141,0.208047300542601,4.156912017763317e-08,1.0,2.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Ed Sheeran,I See Fire,,"['Acoustic Guitar (steel)', 'Nylon Guitar']",Intermediate,3/8,60,2013,0.633,0.0519,-21.107,0.0365,0.562,0.0,0.097,0.204,76.034,300747,,,,,0.0105011455278326,2.293378762368675e-08,0.0197863992719483,0.0015529469834755,2.493313692415856e-09,0.0207028927773354,0.3480766938313711,0.4130338124337059,0.4792091938027121,0.6331498761541899,0.5220826153350347,0.3261145838347762,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.202334210555543,0.3812408337562306,4.41884154598974e-07,2.0,4.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Ludwig Van Beethoven,Moonlight Sonata,,['Acoustic Guitar (nylon)'],Intermediate,4/8,68,2007,0.184,0.00527,-37.264,0.0432,0.995,0.887,0.173,0.151,170.612,315427,,,,,2.9855739983029294e-08,0.0732303548604351,5.95606712077073e-07,0.0,0.1022275365577081,7.528547057154281e-08,0.853165039483062,0.7053192349964736,0.5532800636379114,0.6322705616802184,0.3345174466201914,0.7009616202914531,Low,Low,Low,High,High,Medium,Low-High,Low-High,Low-Medium,Advanced,Advanced,Intermidiate,5.665225803231365e-06,0.0001130183514377,13.895703009570244,0.0,0.0,,"['drums_Advanced', 'guitar_Intermediate', 'piano_Advanced', 'bass_Intermidiate']"
Mason Williams,Classical Gas,['Mason Williams'],['Acoustic Guitar (steel)'],Intermediate,3/8,52,1968,0.489,0.701,-10.53,0.0348,0.852,0.78,0.108,0.739,155.269,184800,,,,,0.0436193096123421,0.0481939038674581,0.0220042321106905,0.0252538565571006,0.0107823878110747,0.0076786926810102,0.6105394228964811,0.5916837274029546,0.4700766643013352,0.3649500775702478,0.2206891026414943,0.3016371277467889,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.0622244074355808,0.0313897747656071,0.0687502194970872,1.0,0.0,1.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Muse,Psycho,['ChristopherWolstenholme'],"['Overdriven Guitar', 'Distortion Guitar']",Intermediate,3/8,68,2015,0.555,0.883,-3.426,0.0341,0.00114,0.041,0.868,0.507,125.02,316718,['MatthewBellamy'],['DominicHoward'],[],[],0.3791357875459799,3.519498320189389e-05,0.2365710399551471,0.1844875734020665,3.095700175731048e-06,0.3607427395750634,0.5093736392990136,0.269478084118112,0.4769131774532539,0.0845564075853378,0.5437743850037023,0.118806287584866,Medium,Low,Low,Medium,Low,Medium,Medium-Medium,Low-Low,Low-Medium,Intermidiate,Beginner,Intermidiate,0.4293723528267043,0.2679173725426355,3.985841812219014e-05,4.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Slipknot,Psychosocial,['Mick T.'],"['Guitar', 'Distortion Guitar']",Intermediate,3/8,75,2008,0.568,0.981,-3.889,0.0887,0.00269,0.00275,0.0243,0.307,135.146,284120,['SidWilson'],"['JimRoot', 'MickThomson']","['PaulGray(1972-2010)', 'AlessandroVenturella']","['JoeyJordison(1975-2021)', 'JayWeinberg', 'ShawnCrahan', 'ChrisFehn']",0.267385624009535,8.193055210892809e-07,0.0353948470427797,0.176722180030946,8.268199332594062e-08,0.0234355572853497,0.4259752086843681,0.3613089320393723,0.5890762006035843,0.4885650600226708,0.340731047174408,0.1238879503349915,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.2725643465948369,0.0360803741516613,8.351738237403475e-07,3.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Blind Guardian,The Bards Song,['Acoustic 1'],['Acoustic Guitar (steel)'],Beginner,2/8,58,1992,0.396,0.415,-7.56,0.0283,0.846,4.38e-05,0.141,0.38,81.778,189893,,,,,0.0009179161287339,0.0002149869145583,0.0005311556359075,5.482656738571887e-05,2.1881772950474604e-05,4.42164012561597e-05,0.2960106434350564,0.6391945574646363,0.3934068574641312,0.7587079694760727,0.6989448849942103,0.7637152428205897,Low,Low,Low,Low,Medium,Medium,Low-Low,Low-Medium,Low-Medium,Beginner,Intermidiate,Intermidiate,0.0022118460933348,0.0012798930985724,0.0005180407579719,0.0,0.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Red Hot Chili Peppers,Can't Stop,['John Frusciante'],['Overdriven Guitar'],Intermediate,3/8,81,2002,0.618,0.938,-3.442,0.0456,0.0179,0.0,0.167,0.875,91.455,269000,['AnthonyKiedis'],['Flea'],"['ChadSmith', 'JackIrons']",[],0.2325774265860557,0.0037343535230031,0.1709681076143721,0.1238020828382254,0.0008264296461248,0.1261635680570447,0.5497047835883132,0.1183217759085005,0.6043019129179026,0.6450557957689214,0.392240926960578,0.2840641969294161,Low,Low,Low,Medium,Low,Medium,Low-Medium,Low-Low,Low-Medium,Intermidiate,Beginner,Intermidiate,0.2479503481727673,0.1822687714438935,0.0039811871247368,2.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Sungha Jung,Howls Moving Castle,,['Acoustic Guitar (steel)'],Beginner,2/8,22,2013,0.326,0.366,-9.326,0.0617,0.87,0.831,0.101,0.269,83.323,303440,,,,,4.343911821748712e-07,0.0046902977554526,7.759526837190897e-05,8.121140652358271e-08,0.0006073421447504,8.658129806189102e-06,0.498424728817066,0.6583310679850025,0.6058763308665086,0.3982237613762474,0.4095657162741313,0.6706687966625858,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,1.1868611534832546e-06,0.0002120089299778,0.0128150211897613,0.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Estas Tonne,The Song Of The Golden Dragon,['Estas Tonné'],['Acoustic Guitar (nylon)'],Intermediate,5/8,48,2012,0.233,0.825,-10.095,0.0415,0.68,0.946,0.565,0.552,89.01,549809,,,,,0.0935535667417487,0.0001817884826909,0.0626045732863141,0.0633833694431446,1.2483997755601646e-05,0.0549796339989909,0.3408897697509171,0.5649927972334183,0.6280098822718018,0.3867371568556469,0.5488314500933611,0.143567804866362,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.1133982627172712,0.0758843312561383,0.000220349675989,1.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Mayhem,Freezing Moon,['Euronymous'],['Distortion Guitar'],Intermediate,3/8,55,1994,0.168,0.974,-9.116,0.112,3.05e-05,0.641,0.0752,0.0943,93.424,383053,"['PerOhlin(1969-1991)', 'AttilaCsihar']",['Necrobutcher'],[],[],0.1209697397066621,1.460911399019097e-07,0.009475620871354,0.1365117181262673,1.1507865364633165e-08,0.0051973995099417,0.6827094168977366,0.4879735657926525,0.4266526581701271,0.2195432555528395,0.0,0.1529515105022612,Low,Low,Low,High,Medium,Medium,Low-High,Low-Medium,Low-Medium,Advanced,Intermidiate,Intermidiate,0.1241989114031438,0.0097285635229507,1.4999090339005102e-07,1.0,0.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Foo Fighters,Everlong,"['PatSmear', 'ChrisShiflett', 'NateMendel', 'FranzStahl']","['Distortion Guitar', 'Dave Grohl (Rhythm Guitar)']",Intermediate,3/8,82,1997,0.413,0.881,-5.541,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,250547,['DaveGrohl'],"['TaylorHawkins(1972-2022)', 'WilliamGoldsmith']",[],[],0.2537833872968978,4.775478622288613e-06,0.2778880052399572,0.1884768600127272,2.7955547397743016e-07,0.2171064333163355,0.4644753476686468,0.3535630937427719,0.4577358719070866,0.3999811386502795,0.3891417323541859,0.1469771946255537,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.2880628686684425,0.3154233884676019,5.420520570134634e-06,3.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Avenged Sevenfold,Buried Alive,"['SynysterGates', 'ZackyVengeance']","['Electric Guitar (clean)', 'Clean Guitar (Synyster Gates)']",Intermediate,4/8,64,2010,0.607,0.804,-5.209,0.0296,0.00116,0.0,0.159,0.469,139.983,404387,['MattShadows'],['JohnnyChrist'],"['JamesOwenSullivan(1981-2009)', 'MikePortnoy', 'BrooksWackerman', 'ArinIlejay']",[],0.2768966368152138,0.0204809840255875,0.0587060674907156,0.2156852677947371,0.0014665267910034,0.0714886411756609,0.6755714292708994,0.3894996295973382,0.6594830721146397,0.046800202367012,0.4163792679335188,0.1818944293975581,Low,Low,Low,High,Medium,Medium,Low-High,Low-Medium,Low-Medium,Advanced,Intermidiate,Intermidiate,0.3443988020089724,0.0730174968789996,0.0254738607283427,3.0,1.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Metallica,Ride The Lightning,['Kirk Hammett'],['Distortion Guitar'],Intermediate,3/8,61,1984,0.265,0.973,-6.129,0.173,5.15e-05,0.0942,0.205,0.27,148.506,396987,"['JamesHetfield', 'DaveMustaine']","['CliffBurton(1962-1986)', 'RobertTrujillo', 'JasonNewsted', 'RonMcGovney']",['LarsUlrich'],[],0.3250129817133996,0.001938004736211,0.0346680525714267,0.2699944036698583,0.0002624005899402,0.010632531333665,0.7652542958926492,0.6801783742336361,0.6852763984777991,0.2769006188794108,0.5001102689656257,0.2525615880059698,Low,Low,Low,High,High,High,Low-High,Low-High,Low-High,Advanced,Advanced,Advanced,0.3340318414320654,0.0356300643077355,0.0019917828738037,3.0,0.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Advanced', 'bass_Advanced']"
Johann Sebastian Bach,Bouree,,['Acoustic Guitar (steel)'],Intermediate,4/8,13,2022,0.386,0.385,-17.061,0.0466,0.99,0.87,0.13,0.975,107.845,46360,,,,,2.026609621801328e-06,1.0,1.7852428626119537e-06,1.7181045214513957e-07,1.0,4.3604558927772674e-08,0.5305833985248543,0.4791020741761496,0.5626999226020559,0.1655646394559807,0.1434923842325801,0.370122984843783,Low,High,Low,Medium,Medium,Medium,Low-Medium,High-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,5.263921095587864e-06,4.636994448342737e-06,2.5974025974025974,0.0,0.0,,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
As I Lay Dying,Through Struggle,"[""Samuel Nicholas Keali'iokalani Hipa""]",['Distortion Guitar'],Intermediate,3/8,53,2005,0.195,0.976,-4.381,0.0808,6.86e-05,0.000912,0.263,0.531,180.372,238173,,,,,0.2446924188230157,1.4490424848381609e-06,0.0877719693689499,0.1651184797377067,5.280364119848744e-08,0.0785687712560541,0.2416270682381449,0.3373046540709337,0.5455919000296038,0.411435018650403,0.4969245130630844,0.2125666033932282,Low,Low,Low,Low,Medium,Medium,Low-Low,Low-Medium,Low-Medium,Beginner,Intermidiate,Intermidiate,0.250709445515385,0.0899302964845798,1.4846746770882796e-06,3.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
